scale id,author,year,scale name,key notes,related scales,instrument focused,focus if not instrumental,external validity,which external validity,note on validity,theoretical framework,facets of motivation,response categories,variance in score (y/n),ceiling/floor effect,internal consistency measure,internal consistency estimate,note on reliability,skills required,populations disadvantaged,note on inclusivity,duration,items,expansion/reduction,scale efficiency,sample mean,sample range,sample grade,sample ages applied,country of study,sample population,attributes of sample,sample size,additional notes on sample,measures interest (y/n),measures intrinsic motivation (y/n),measures extrinsic motivation (y/n),evaluation notes,type of measure,child interview (y/n),questionnaire (y/n),self-report (y/n),parent report (y/n),teacher-report (y/n),child-and parent-report (y/n),child report: individual or group testing,available for research use,available materials 
392a,"Denac, O.",2008,Untitled,parent-reports on child's interest in taking part in various musical activities at home,NA,no,"singing, music listening, making up new songs, dancing and movement as well as playing instruments ",yes,other measures: child and teacher reports,parent reports of children's interests in music at home are compared with children's reports,NA,active engagement/involvement,5,yes: range of percentages of first ranked activities at home : 9.7%-55.7% ,NR,no,NR,An assessment of reliability carried out between parent and child ratings of different activities would have been beneficial,parent insight,parent who lives seperately,necessary to have an insight into their children's musical lives and behaviour at home,NR,NR,yes,"list of potential music activities to take part in at home could be expanded upon to include, for example, taking part in musical play, playing or singing with others",NR,5 to 6y,preschool,"5,6",Slovenia,TD,NA,176,parents of children from preschools that responded to a letter sent to randomly chosen kindergartens throughout Slovenia,yes,no,no,NA,parent questionnaire,no,yes,no,yes,no,no,NA,unclear,yes: in paper: https://link.springer.com/article/10.1007/s10643-007-0205-4
442a,"Stramkale, L.; Timermane, L.",2020,Self-regulated Learning Questionnaire,"Self-report on self-regulation: ability to set, monitor and assess learning outcomes during a music lesson",NA,no, school music lessons,yes,"other measures: structured observation carried out by teachers according to same four criteria: motivation, setting learning outcomes, monitoring of learning and learning outcomes",authors report that there were no significant differences between teacher ratings of SRL and student's self-assessments,NA,self-regulation,4-point likert (never-always),yes: SD=.89- .99,no,no,NR,comparing child and teacher responses on the same scale would have been beneficial,language skills  and introspection,young readers; dyslexia,NA,5-10m,12,yes,could be expanded to include items in the motivation category that teachers had to rate during observation,NR,NR,4th,NR,Latvia,TD,NA,86,recruited from one comprehensive school,no,yes,yes,NA,child questionnaire,no,yes,yes,no,no,no,group,no,no
442b,"Stramkale, L.; Timermane, L.",2020,Self-regulated Learning Questionnaire,"teacher-report on child's motivation and ability to set, monitor and assess learning outcomes during a music lesson",NA,no,school music lessons,yes,other measures: child self-perceptions on latter 3 criteria,authors report that there were no significant differences between teacher ratings of SRL and student's self-assessments,NA,self-regulation,"3 (low, medium, high)",yes: SD=.6-.7,no,no,NR,comparing child and teacher responses on the same scale would have been beneficial,NA,NA,NA,30m-1h,NR,no,length of music lesson in which teachers observed is unclear,NR,NR,4th,NR,Latvia,TD,NA,86,recruited from one comprehensive school,yes,yes,no,NA,teacher questionnaire,no,yes,no,no,yes,no,NA,no,no
439d,"Song, H. Q.; Barakova, E. I.; Markopoulos, P.; Ham, J.",2021,The Situational Motivation Scale (SIMS),Interest subscale (self-report),NA,yes,use of robot for teaching piano,yes,other measures: 'persistence' was interpreted from observational video data as a behavioural measure of motivation,findings from behavioural measure confirmed findings using questionnaire,NA,interest,5-point likert,"yes: M=4.34-4.55, SD= .37-.77 across all subscales","yes: ceiling, average mean scoresacross all subscales were >4 for 5 point scale",cronbach's alpha,a=0.77,alpha for full questionnaire: .89,language skills,young readers; dyslexia,language was simplified for questions adapted from the SIMS to make it easier to understand as it was originally developed for adults,2m,3,yes,could be expanded based on the larger set ofsimilar  items which can be found in some of  the questionnaires developed based on the expectancy-value model ,NR,6 to 12y,NR,"9, 10, 11, 12",The Netherlands,TD,children taking piano lessons,31,"sample split into beginners, developing and advanced",yes,yes,no,NA,child questionnaire,no,yes,yes,no,no,no,individual,unclear,no: items listed in table 2 of paper but item response options are not clear
439a,"Song, H. Q.; Barakova, E. I.; Markopoulos, P.; Ham, J.",2021,The FunQ,Autonomy subscale (self-report): measures children's feelings of autonomy when learning music with a robot,NA,yes,use of robot for teaching piano,yes,other measures: 'persistence' was interpreted from observational video data as a behavioural measure of motivation,findings from behavioural measure confirmed findings using questionnaire,NA,autonomy,5-point likert,"yes: M=4.34-4.55, SD= .37-.77 across all subscales","yes: ceiling, average mean scoresacross all subscales were >4 for 5 point scale",cronbach's alpha,a=0.65,alpha for full questionnaire: .89,language skills,young readers; dyslexia,NA,2m,3,no,subscale validated in another paper,NR,9 to 12y,NR,"9, 10, 11, 12",The Netherlands,TD,children taking piano lessons,31,"sample split into beginners, developing and advanced",no,yes,no,NA,child questionnaire,no,yes,yes,no,no,no,individual,unclear,no: items listed in table 2 of paper but item response options are not clear
439c,"Song, H. Q.; Barakova, E. I.; Markopoulos, P.; Ham, J.",2021,The FunQ,Stress subscale (self-report): measures children's emotional responses to learning music with a robot,NA,yes,use of robot for teaching piano,yes,other measures: 'persistence' was interpreted from observational video data as a behavioural measure of motivation,findings from behavioural measure confirmed findings using questionnaire,NA,stress,5-point likert,"yes: M=4.34-4.55, SD= .37-.77 across all subscales","yes: ceiling, average mean scoresacross all subscales were >4 for 5 point scale",cronbach's alpha,a=0.73,alpha for full questionnaire: .89,language skills,young readers; dyslexia,NA,2m,3,no,subscale validated in another paper,NR,9 to 12y,NR,"9, 10, 11, 12",The Netherlands,TD,children taking piano lessons,31,"sample split into beginners, developing and advanced",no,yes,no,NA,child questionnaire,no,yes,yes,no,no,no,individual,unclear,no: items listed in table 2 of paper but item response options are not clear
439b,"Song, H. Q.; Barakova, E. I.; Markopoulos, P.; Ham, J.",2021,The FunQ,Delight subscale (self-report): measures enjoyment of learning music with a robot,NA,yes,use of robot for teaching piano,yes,other measures: 'persistence' was interpreted from observational video data as a behavioural measure of motivation,findings from behavioural measure confirmed findings using questionnaire,NA,enjoyment/delight,5-point likert,"yes: M=4.34-4.55, SD= .37-.77 across all subscales","yes: ceiling, average mean scoresacross all subscales were >4 for 5 point scale",cronbach's alpha,a=0.8,alpha for full questionnaire: .89,language skills,young readers; dyslexia,NA,2m,3,no,subscale validated in another paper,NR,9 to 12y,NR,"9, 10, 11, 12",The Netherlands,TD,children taking piano lessons,31,"sample split into beginners, developing and advanced",yes,yes,no,NA,child questionnaire,no,yes,yes,no,no,no,individual,unclear,no: items listed in table 2 of paper but item response options are not clear
1455b,"Politimou, N.; Stewart, L.; Müllensiefen, D. and Franco, F.",2018,Music @ Home: Preschool,Active engagement with music subscale (parent-report on children),NA,no,"singing, listening to recorded music, playing with musical toys, watching music videos on a TV/tablet, dancing to music and engaging in music activities with another person, as well as playing instruments",yes,"factorial validity (CFA) & other measures: Gold-MSI subscales MT and AE, items from the parents music activities subscale of the CMBI (Valerio et al. 2003)",convergent validity with the  parent's musical activities subscale of the CMBI  (r=.37) and the AE subscale of the goldMSI (r= .17) plus factorial validity from CFA,NA,active engagement/involvement,7-point agreement scale,NR,no,"alpha, omega, G6,  test-retest","a=.765, ω=.781,G6= .746,retest= .68",lots of reliabiliity measures included,NA,NA,NA,2m,4,no,factorial structure validated using CFA,3.34y,2 to 5y ,preschool/kindergarten,"2, 3, 4, 5",NR,TD,NA,213,sample taken from study 2 as the validity and reliability stats also come from this study,yes,yes,no,NA,parent questionnaire,no,yes,no,yes,no,no,NA,yes,yes: items listed in S5 table
1455f,"Politimou, N.; Stewart, L.; Müllensiefen, D. and Franco, F.",2018,Music @ Home: Infant,Active engagement with music subscale (Parent-report on infants),NA,no,"singing, listening to recorded music, playing with musical toys, watching music videos on a TV/tablet, dancing to music and engaging in music activities with another person, as well as playing instruments",yes,"factorial validity (CFA) & other measures: Gold-MSI subscales MT and AE, items from the parents music activities subscale of the CMBI (Valerio et al. 2003)",convergent validity with the parent's musical activities subscale of the CMBI  (r=.32)  plus factorial validity from CFA,NA,active engagement/involvement,7-point agreement scale,NR,no,"alpha, omega, G6,  test-retest","a=.835, ω=.842, G6=.832, retest=.67",lots of reliabiliity measures included,NA,NA,NA,3m,6,no,factorial structure validated using CFA,12.81m,0 to 1y,NA,"0, 1",NR,TD,NA,213,sample taken from study 2 as the validity and reliability stats also come from this study,yes,yes,no,NA,parent questionnaire,no,yes,no,yes,no,no,NA,yes,yes: items listed in S6 table
436a,"Ribeiro, F. S.; Braun J., T.; Passarini, L.; Vanzella, P.",2021,Music Engagement Questionnaire (MEQ),Parent-reported child-caregiver musical behaviours,NA,no,"singing, listening to music, dancing, playing with musical toys/instruments",yes,"changes to musical behaviour influed by: caregivers: involvement with arts activities, level of education, well-being and stress and childs disability status",NA,NA,active engagement/involvement,6-point likert scale to assess difference between pre-covid lockdown behaviour and lockdown behaviour (never had this habit-much more),NR,yes: ceiling effects with some items,no,NR,"if more than one caregiver, could have been useful to get ratings from both to check reliability",NA,NA,NA,15m,23,yes,could reduce scale to include only items related to children's independent musical behaviours and not caregivers encouragement,4.32y (SD=1.3),3 to 6y,Preschool or not in school,"3,4,5,6",Brazil,"TD, ASD; other developmental disability",families with children aged 3-6 during covid lockdown,188,NA,yes,yes,no,NA,parent questionnaire,no,yes,no,yes,no,no,NA,unclear,yes: in supplementaryes table doc table S4
413d,"McCormick, J.; McPherson, G. E.",2007,Untitled,Utility value subscale (self-report): measures how useful learning different musical skills and participating in exams is to learner,NA,yes,NA,yes,other measures: grade examination (AMEB); convergent validity between subscales and construct validity,subscales were all correlated with each other as posited by expectancy theory ,"Expectancy-Value theory (Wigfield & Eccles, 2000)",utility value/usefulness,7-point likert scale (not at all useful- very useful),NR,NR,cronbach's alpha,a=0.81,NA,instrument training,no instrumental training,language not an issue here as designed for older students (9+),10m,11,yes,final version retained only 5 items based on structural model,13.3y,9 to 19y,NR,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",Australia,TD,instrumental music learners,723,NA,no,yes,yes,NA,child questionnaire,no,yes,yes,no,no,no,group,unclear,yes: retained items listed in paper under 'Measurement models and fit statistics'
413a,"McCormick, J.; McPherson, G. E.",2007,Untitled,Difficulty subscale (self-report): measures difficulty of various aspects of instrument learning,NA,yes,NA,yes,other measures: grade examination (AMEB); convergent validity between subscales and construct validity,subscales were all correlated with each other as posited by expectancy theory ,"Expectancy-Value theory (Wigfield & Eccles, 2000)",task difficulty,7-point likert scale (very easy- very hard),NR,NR,cronbach's alpha,a=0.81,NA,instrument training,no instrumental training,language not an issue here as designed for older students (9+),5m,8,yes,final version retained only 5 items based on structural model,13.3y,10 to 19y,NR,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",Australia,TD,instrumental music learners,723,NA,no,yes,no,NA,child questionnaire,no,yes,yes,no,no,no,group,unclear,yes: retained items listed in paper under 'Measurement models and fit statistics'
413b,"McCormick, J.; McPherson, G. E.",2007,Untitled,Attainment subscale (self-report): measures percieved importance of learning an instrument and taking the music exam ,NA,yes,NA,yes,other measures: grade examination (AMEB); convergent validity between subscales and construct validity,subscales were all correlated with each other as posited by expectancy theory ,"Expectancy-Value theory (Wigfield & Eccles, 2000)",attainment value,7-point likert scale (not at all important- very important),NR,NR,cronbach's alpha,a=0.77,NA,instrument training,no instrumental training,language not an issue here as designed for older students (9+),8m,12,yes,final version retained only 6 items based on structural model,13.3y,11 to 19y,NR,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",Australia,TD,instrumental music learners,723,NA,no,yes,yes,NA,child questionnaire,no,yes,yes,no,no,no,group,unclear,yes: retained items listed in paper under 'Measurement models and fit statistics'
413c,"McCormick, J.; McPherson, G. E.",2007,Untitled,Intrinsic value subscale (self-report): targets enjoyment and interest,NA,yes,NA,yes,other measures: grade examination (AMEB); convergent validity between subscales and construct validity,subscales were all correlated with each other as predicted by expectancy theory ,"Expectancy-Value theory (Wigfield & Eccles, 2000)",enjoyment/delight; intrinsic value; interest,7-point likert scale (not at all enjoyable- very enjoyable; not at all interesting- very interesting),NR,NR,cronbach's alpha,a=0.89,NA,instrument training,no instrumental training,language not an issue here as designed for older students (9+),15m,24,yes,final version retained only 6 items based on structural model,13.3y,12 to 19y,NR,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",Australia,TD,instrumental music learners,723,NA,yes,yes,no,NA,child questionnaire,no,yes,yes,no,no,no,group,unclear,yes: retained items listed in paper under 'Measurement models and fit statistics'
414,"McCormick, J.; McPherson, G. E.",2003,Untitled,"Self-report on: self-regulatory learning (cognitive strategy use, self-regulation) intrinsic value, interest, anxiety, self-efficacy and practice frequency ",NA,yes,playing by ear for own enjoyment/ improvising own music,yes,other measures: grade examindation (Trinity college),NA,"Self-Efficacy model (McCormick & McPherson, 2003)",self-regulation; performance anxeity; self-efficacy; intrinsic value; instrumental practice,7-point likert scale (not at all true of me- very true of me),NR,NR,no,NR,NA,instrument training,no instrumental training,language not an issue here as designed for older students (9+),10m,16,no,NA,12.81y,9 to 18 y,NR,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18",Australia,TD,"string, brass and woodwind players completing Trinity College grade exam (London)",332,NA,yes,yes,no,NA,child questionnaire,no,yes,yes,no,no,no,group,no,no
419a,"Mizener, C. P. ",1993,Untitled,Self-report on interest and participation in singing activities,NA,no,"singing interest, choir participation, classroom singing activities, out-of-school-singing experiences, self-perception of singing skill",yes,singing ability measures,NA,NA,interest; active engagement/involvement,2 (yes or no; or selecting from two varying options) or 3 (selecting from varying options),NR,no,no,NR,there was no overall motivation score reported,NA,NA,NA,30m,44,yes,reduction advisable if interested solely on motivation: 44 items is too long,NR,NR,"3,4,5 and 6",NR,US,TD,NA,542,NA,yes,yes,no,NA,child questionnaire,no,yes,yes,no,no,no,group,yes,no: on request
