scale id,author,year,scale name,key notes,related scales,instrument focused,focus if not instrumental,external validity,which external validity,note on validity,theoretical framework,facets of motivation,response categories,variance in score (y/n),ceiling/floor effect,internal consistency measure,internal consistency estimate,note on reliability,skills required,populations disadvantaged,note on inclusivity,duration,items,expansion/reduction,scale efficiency,sample mean,sample range,sample grade,sample ages applied,country of study,sample population,attributes of sample,sample size,additional notes on sample,measures interest (y/n),measures intrinsic motivation (y/n),measures extrinsic motivation (y/n),evaluation notes,type of measure,child interview (y/n),questionnaire (y/n),self-report (y/n),parent report (y/n),teacher-report (y/n),child-and parent-report (y/n),child report: individual or group testing,available for research use,available materials 
403ad,"Comeau, G.; Huta, V.; Lu, Y.; Swirp, M.",2019,Motivation for Learning Music questionnaire (MLM),Identification and integration (self-report): Focus on piano leaning- can be applied to any instrument. ,394bb,yes,NA,yes,other measures: various questions developed for paper as construct validity measures,construct validity with additional measures,"Self-Determination theory (Ryan & Deci, 2000)",identification/integration,7-point likert scale (not at all like me- perfectly like me),yes,no,cronbach's alpha,a=0.82,NA,language skills and instrument training,young readers; dyslexia; those who don’t have access to instrument learning,NA,5m,5,no,factor analysis and reliability analyses support using this number of items,10.85y (piano); 10.40 y (violin),6 to17y (piano); 4 to16y (violin),NR,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",Canada,TD,piano and violin students (music lessons for at least .5 years),337,260 piano students vs violin 80,no,yes,no,NA,child questionnaire,no,yes,yes,no,no,no,group,yes,yes: https://selfdeterminationtheoryes.org/motivation-for-learning-music/
403ae,"Comeau, G.; Huta, V.; Lu, Y.; Swirp, M.",2019,Motivation for Learning Music questionnaire (MLM),Intrinsic motivation (self-report). Focus on piano leaning- can be applied to any instrument.,NA,yes,NA,yes,other measures: various questions developed for paper as construct validity measures,construct validity with additional measures,"Self-Determination theory (Ryan & Deci, 2000)",intrinsic motivation,7-point likert scale (not at all like me- perfectly like me),yes,no,cronbach's alpha,a=0.85,NA,language skills and instrument training,young readers; dyslexia; those who don’t have access to instrument learning,NA,5m,5,no,factor analysis and reliability analyses support using this number of items,10.85y (piano); 10.40 y (violin),6 to17y (piano); 4 to16y (violin),NR,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",Canada,TD,piano and violin students (music lessons for at least .5 years),337,261 piano students vs violin 80,no,yes,no,NA,child questionnaire,no,yes,yes,no,no,no,group,yes,yes: https://selfdeterminationtheoryes.org/motivation-for-learning-music/
403ba,"Comeau, G.; Huta, V.; Lu, Y.; Swirp, M.",2019,Untitled,Self-report on doing practice when forced by others/self: included as a construct validation measure,NA,yes,NA,yes,other measures: MLM,correlations with each of the MLM subscales,NA,self-regulation; external regulation,7-point likert scale (not at all like me- perfectly like me),"yes: M=3.02, SD=1.34",no,cronbach's alpha,a=0.73,NA,language skills and instrument training,young readers; dyslexia; those who don’t have access to instrument learning,NA,6m,6,yes,NA,10.85y (piano); 10.40y (violin),7 to 17y (piano); 4 to 16y (violin),NR,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",Canada,TD,piano and violin students (music lessons for at least .5 years),337,262 piano students vs violin 80,no,yes,yes,NA,child questionnaire,no,yes,yes,no,no,no,both,no,yes: in paper
403bb,"Comeau, G.; Huta, V.; Lu, Y.; Swirp, M.",2019,Untitled,parent-report on giving tangible rewards to child for home practice,NA,yes,NA,yes,other measures: MLM,correlations with each of the MLM subscales,NA,incentive/reward,5-point likert scale (never-always),"yes: M=1.97, SD=1.17",no,no,NR,NA,language skills and instrument training,young readers; dyslexia; those who don’t have access to instrument learning,NA,1m,1,yes,NA,10.85y (piano); 10.40y (violin),11 to 17y (piano); 4 to 16y (violin),NR,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",Canada,TD,piano and violin students (music lessons for at least .5 years),337,263 piano students vs violin 80,no,no,yes,NA,parent questionnaire,no,yes,no,yes,no,no,NA,no,yes: in paper
403bc,"Comeau, G.; Huta, V.; Lu, Y.; Swirp, M.",2019,Untitled,parent-report on giving tangible rewards to child for musical achievement,NA,yes,NA,yes,other measures: MLM,correlations with each of the MLM subscales,NA,incentive/reward,5-point likert scale (never-always),"yes: M=2.41, SD=1.34",no,no,NR,NA,language skills and instrument training,young readers; dyslexia; those who don’t have access to instrument learning,NA,1m,1,yes,NA,10.85y (piano); 10.40y (violin),13 to 17y (piano); 4 to 16y (violin),NR,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",Canada,TD,piano and violin students (music lessons for at least .5 years),337,264 piano students vs violin 80,no,no,yes,NA,parent questionnaire,no,yes,no,yes,no,no,NA,no,yes: in paper
403bd,"Comeau, G.; Huta, V.; Lu, Y.; Swirp, M.",2019,Untitled,parent-report on minutes of child's weekly instrumental practice,NA,yes,NA,yes,other measures: MLM,correlations with each of the MLM subscales,NA,instrumental practice,NR,"yes: M=172.98, SD=145.09",no,no,NR,NA,language skills and instrument training,young readers; dyslexia; those who don’t have access to instrument learning,NA,1m,1,no,NA,10.85y (piano); 10.40y (violin),12 to 17y (piano); 4 to 16y (violin),NR,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",Canada,TD,piano and violin students (music lessons for at least .5 years),337,265 piano students vs violin 80,no,yes,yes,NA,parent questionnaire,no,yes,no,yes,no,no,NA,no,yes: in paper
403be,"Comeau, G.; Huta, V.; Lu, Y.; Swirp, M.",2019,Untitled,Self-report on interest in the mundane aspects of instrument practice,394,yes,NA,yes,other measures: MLM,correlations with each of the MLM subscales,NA,work ethic,7-point likert (not interesting at all-very interesting),"yes: M=4.28, SD=1.35",no,cronbach's alpha,a=0.79,NA,language skills and instrument training,young readers; dyslexia; those who don’t have access to instrument learning,NA,8m,8,yes,NA,10.85y (piano); 10.40y (violin),9 to 17y (piano); 4 to 16y (violin),NR,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",Canada,TD,piano and violin students (music lessons for at least .5 years),337,266 piano students vs violin 80,no,no,no,NA,child questionnaire,no,yes,yes,no,no,no,both,no,yes: in paper
403bf,"Comeau, G.; Huta, V.; Lu, Y.; Swirp, M.",2019,Untitled,"parent-report on probability that child will continue playing as an adult, an expected outcome of motivated practice",NA,yes,NA,yes,other measures: MLM,correlations with each of the MLM subscales,NA,instrumental practice,5-point likert (not likely-absolutely),"yes: M=3.58, SD=1.09",no,no,NR,NA,language skills and instrument training,young readers; dyslexia; those who don’t have access to instrument learning,NA,1m,1,yes,NA,10.85y (piano); 10.40y (violin),14 to 17y (piano); 4 to 16y (violin),NR,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",Canada,TD,piano and violin students (music lessons for at least .5 years),337,267 piano students vs violin 80,no,yes,yes,NA,parent questionnaire,no,yes,no,yes,no,no,NA,no,yes: in paper
403bg,"Comeau, G.; Huta, V.; Lu, Y.; Swirp, M.",2019,Untitled,parent-report on how much child participates in optional music activities,NA,yes,NA,yes,other measures: MLM,correlations with each of the MLM subscales,NA,active engagement/involvement,5-point likert (never to always),"yes: M=1.20, SD=1.03",no,cronbach's alpha,a=0.67,NA,language skills and instrument training,young readers; dyslexia; those who don’t have access to instrument learning,NA,3m,3,yes,NA,10.85y (piano); 10.40y (violin),6 to 17y (piano); 4 to 16y (violin),NR,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",Canada,TD,piano and violin students (music lessons for at least .5 years),337,268 piano students vs violin 80,no,yes,no,NA,parent questionnaire,no,yes,no,yes,no,no,NA,no,yes: in paper
403bh,"Comeau, G.; Huta, V.; Lu, Y.; Swirp, M.",2019,Untitled,Self-report on interest in creative composing and improvising,NA,yes,NA,yes,other measures: MLM,correlations with each of the MLM subscales,NA,intrinsic value; interest,7-point likert (not interesting at all- very interesting),"yes: M=5.06, SD=1.61",no,cronbach's alpha,a=0.81,NA,language skills and instrument training,young readers; dyslexia; those who don’t have access to instrument learning,NA,4m,4,yes,NA,10.85y (piano); 10.40y (violin),10 to 17y (piano); 4 to 16y (violin),NR,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",Canada,TD,piano and violin students (music lessons for at least .5 years),337,269 piano students vs violin 80,yes,yes,no,NA,child questionnaire,no,yes,yes,no,no,no,both,no,yes: in paper
